address,phonenumber,deposit,rent
울산광역시 구원련시 환준욱거리 1491 (842-364),01096879758,6000.0,30.0
"서울특별시 야림후마을 
 초진대동 2725 067-111",01027235514,5000.0,50.0
전라남도 한철마을 창소동 455 36-0 (567-295),01085527426,7000.0,50.0
인천광역시  석상권마을 저유현동 2570 31-0 (954-863),01062922353,9000.0,60.0
"충청북도 리준구 
 덕수로 749 949-805",01027183795,1000.0,40.0
경상남도 규예군 억남은동 3 428-9 (744-960),01046983926,9000.0,70.0
세종특별자치시 원금군 도금병군 898 (396-157),01092973534,6000.0,30.0
"부산광역시 허완재시 
 철안로 6571 586-5 340-380",01022433928,5000.0,50.0
경상남도 저구후군 용한동 2207 (440-023),01065317255,5000.0,50.0
"경기도 윤병수시 
 희보거리 044 3-9 893-646",01071948151,9000.0,50.0
"부산광역시 통빈시 
 안리동 3090 780-004",01084949537,9000.0,70.0
세종특별자치시 진리마을 관송두구 6226 02-6 (916-277),01065636383,9000.0,40.0
"광주광역시 자안협군 
 재수별거리 9 45-5 672-722",01011762386,7000.0,30.0
서울특별시 림엽구 명안관로 512 008 (795-380),01099477472,6000.0,60.0
"충청남도 제명성마을 
 태명거리 9343 476-6 894-715",01024894885,1000.0,60.0
광주광역시 편위련군 양미려동 234 585 (684-561),01098813392,8000.0,60.0
전라남도 엽엽시 엄원연거리 9418 (216-407),01021834125,8000.0,40.0
제주특별자치도 란란구 동석향로 8 843 (475-334),01024126212,5000.0,40.0
"대구광역시 호구군 
 석해석마을 122 9-9 196-827",01092374761,5000.0,50.0
경기도 강위해마을 순빈람마을 7455 (759-915),01088421857,4000.0,50.0
경상남도 제동솔마을 위재거리 292 (258-209),01034135523,1000.0,60.0
"경상남도 삼억후마을 
 남환근구 508 357 585-536",01045438739,9000.0,30.0
"경상남도 성련마을 
 우균비동 2013 8-7 010-810",01029788222,1000.0,30.0
"인천광역시 창용완구 
 범희로 5 856-028",01017615582,9000.0,50.0
"전라북도 관주군 
 규양동 207 2-7 009-506",01051429223,5000.0,70.0
세종특별자치시 현림화구 통형해군 322 (427-787),01022314846,8000.0,50.0
"제주특별자치도 은규마을 
 승범화동 100 015-063",01093386561,6000.0,60.0
충청북도 환창성구 람슬석거리 813 01-0 (907-828),01061916735,8000.0,60.0
"전라북도 부영화마을 
 원산승구 9519 8-8 450-501",01034752519,3000.0,60.0
"대구광역시 근향시 
 빈리거리 139 290-682",01064485288,4000.0,50.0
"광주광역시 현비마을 
 호병상로 7869 1-8 908-654",01026391564,8000.0,30.0
대구광역시 기환군 무욱로 909 (947-876),01039134163,8000.0,30.0
"제주특별자치도 건환시 
 야힘정로 490 515-963",01094554581,7000.0,50.0
경기도 훈훈마을 기진종군 2 862-4 (066-994),01051313497,9000.0,50.0
대구광역시 상덕구 승현무동 2748 (621-583),01084513816,4000.0,70.0
인천광역시 수석시 궉창승로 5274 393동 531호 (341-493),01051329394,5000.0,70.0
"광주광역시 묵균형마을 
 미산슬동 461 094-405",01056184447,6000.0,30.0
"서울특별시 정찬시 
 순덕거리 8 246-021",01057511199,8000.0,30.0
"경상남도 솔해구 
 제갈란혁동 6 197동 486호 801-597",01027945314,9000.0,50.0
전라남도 장황산군 덕두연동 7434 653동 633호 (524-221),01097281539,9000.0,40.0
"대전광역시 민통마을 
 최광비거리 837 958-000",01062632245,6000.0,60.0
"대구광역시 연안기마을 
 향강로 3 641-0 548-451",01056946426,1000.0,50.0
충청남도 채승찬시 군금태거리 7994 4-5 (737-046),01049385366,5000.0,50.0
전라남도 무란마을 통림강마을 889 (870-331),01049124777,1000.0,30.0
경기도 진완군 찬우현군 2158 (008-565),01091593136,5000.0,50.0
"충청북도 솔해구 
 혁무강로 301 092-769",01061287235,4000.0,40.0
대전광역시 김동람시 규란거리 174 (573-777),01082146388,2000.0,30.0
부산광역시 열리군 통승소거리 2 326 (115-057),01054269886,6000.0,70.0
인천광역시 세완마을 예정세거리 1 (893-382),01018635917,8000.0,60.0
"대전광역시 추범림마을 
 대석용시 0330 791-3 722-855",01089953447,1000.0,40.0
제주특별자치도 탁려우구 구완선동 4030 911동 465호 (511-452),01094227268,4000.0,50.0
"서울특별시 통도구 
 점덕민로 1 185-4 140-655",01036519587,4000.0,40.0
"제주특별자치도 편경찬구 
 송인균거리 0931 19-6 362-464",01058947455,6000.0,50.0
"서울특별시 균비시 
 윤림동 9 163-343",01033531239,6000.0,70.0
충청남도 변희위군 익진동 9646 (862-648),01077781753,5000.0,30.0
대구광역시 위미마을 민소로 533 005동 359호 (425-639),01083614568,2000.0,50.0
"서울특별시 웅리마을 
 려협용구 2 885-514",01047177829,1000.0,40.0
부산광역시 솔보군 임찬보동 797 (768-550),01098384666,1000.0,30.0
"부산광역시 남영아시 
 려금동 2816 787-682",01088431598,9000.0,50.0
울산광역시 휘의군 예강거리 771 3-4 (319-926),01063439872,8000.0,60.0
"충청북도 군힘창군 
 순현정거리 819 019 764-414",01033249837,8000.0,60.0
"전라남도 길욱관군 
 성후미동 7524 523-256",01036615221,8000.0,30.0
"대구광역시 오진승시 
 인혜림거리 6658 171-393",01045144858,9000.0,50.0
제주특별자치도 제갈근영마을 후양구동 1993 (195-664),01097937648,5000.0,30.0
전라남도 현민마을 후규무동 942 335-1 (829-409),01067836447,3000.0,50.0
서울특별시 다균마을 증송두로 0760 (118-953),01085528316,3000.0,30.0
경상북도 흥위원마을 보윤재동 6 (451-859),01024997237,5000.0,30.0
세종특별자치시 연광선마을 리유비로 8 (301-797),01069291265,1000.0,50.0
제주특별자치도 홍양구 공영동동 9669 4-3 (941-292),01098447945,7000.0,60.0
강원도 가상마을 송종용동 492 2-9 (057-127),01011242646,3000.0,60.0
대구광역시 홍온마을 추병익로 6 3-8 (598-621),01076328586,8000.0,40.0
전라남도 송정빈군 협환열군 2 (744-273),01052517653,2000.0,30.0
"울산광역시 화열마을 
 추기솔거리 920 447-611",01075658818,3000.0,50.0
제주특별자치도 희온마을 근강원구 699 836-8 (596-560),01035956992,7000.0,30.0
"인천광역시 미온군 
 남광구구 8 93-9 005-751",01097836794,9000.0,40.0
"대구광역시 요열광구 
 도도온군 933 683-221",01059928683,5000.0,40.0
"전라남도 선덕시 
 비협근로 4 655-226",01025828136,1000.0,30.0
"강원도 봉대대마을 
 해훈수시 3924 184-627",01058831193,4000.0,70.0
"충청북도 덕권시 
 명안로 181 846-675",01053754199,5000.0,40.0
충청남도 기려마을 무람호군 5 25-5 (480-210),01022881497,3000.0,50.0
충청남도 효주마을 연관호마을 915 015 (734-515),01076877966,5000.0,50.0
"경상남도 명석군 
 홍안로 2 325-375",01061622786,2000.0,70.0
강원도 도순구 열명휘시 3 (858-241),01093567627,4000.0,70.0
경상북도 신병은군 범련남동 861 (115-006),01042412997,5000.0,40.0
충청북도 황하군 마별창거리 725 276동 046호 (171-771),01055868655,2000.0,70.0
"세종특별자치시 함황예마을 
 효엽로 1534 782-893",01052894214,3000.0,50.0
전라북도 운슬도군 준욱한로 1 (279-880),01061652914,4000.0,50.0
"충청남도 팽위영군 
 아엽명로 5 526-1 976-298",01091666866,2000.0,50.0
경상남도 차주원구 형황환동 7 41-2 (416-116),01021912313,6000.0,50.0
"제주특별자치도 현한시 
 선우려온동 6964 733 942-764",01078355937,1000.0,60.0
"울산광역시 허명권마을 
 산범명구 7 2-1 776-267",01094167837,7000.0,30.0
"부산광역시 모혁환구 
 구엽로 0 11-0 460-503",01051742865,9000.0,60.0
울산광역시 별웅마을 용준동 0 (364-034),01011911215,1000.0,50.0
전라북도 매송승마을 육종기로 9538 347 (981-058),01053245528,6000.0,70.0
대구광역시 심다협군 혜홍동 2508 3-3 (550-671),01018587568,8000.0,40.0
"경상남도 우범시 
 강선희동 944 4-0 088-713",01054955851,6000.0,60.0
"강원도 함순무시 
 양련로 7 801-567",01024635937,6000.0,60.0
"세종특별자치시 부정연군 
 억주거리 5 848-509",01028479558,2000.0,50.0
"전라남도 준홍영구 
 양유란구 810 486동 697호 572-820",01028673425,6000.0,40.0
경기도 고정련마을 영창거리 6283 (605-566),01031937533,8000.0,60.0
인천광역시 증협혜마을 함수완로 6 45-7 (109-179),01055343891,6000.0,30.0
"전라남도 빈해마을 
 려무익구 691 33-9 774-690",01094632767,3000.0,60.0
"전라북도 미무구 
 동방통위로 4 414-334",01081388265,4000.0,30.0
대전광역시 금한마을 조건가동 6481 (358-577),01073843426,2000.0,40.0
"전라북도 차열효구 
 기슬거리 5 071동 359호 902-830",01031244866,9000.0,70.0
강원도 승근마을 채웅균동 655 608 (085-689),01088559871,6000.0,30.0
"강원도 아휘구 
 승예협거리 155 544-455",01043829455,9000.0,70.0
전라남도 재균군 송우억로 4901 836동 516호 (386-356),01028871463,4000.0,60.0
"세종특별자치시 훈휘구 
 윤찬향거리 554 765-242",01076897196,8000.0,30.0
강원도 안려시 유통준거리 9 169동 994호 (111-046),01032143667,5000.0,70.0
"경기도 영형시 
 아건인마을 6 0-0 310-274",01078588979,1000.0,40.0
"울산광역시 엄힘호마을 
 은민로 6 54-2 281-851",01083962323,3000.0,30.0
강원도 지우마을 가솔거리 932 794 (725-964),01023379129,9000.0,30.0
제주특별자치도 정수구마을 하통은시 0229 66-9 (991-591),01099871112,8000.0,70.0
제주특별자치도 매세비군 휘종동 6224 46-5 (440-566),01077897826,8000.0,60.0
제주특별자치도 준해종구 리용원마을 357 3-8 (082-140),01056749218,2000.0,30.0
경상북도 빈형군 다한로 7 107동 861호 (761-892),01032328824,1000.0,30.0
"광주광역시 가인의시 
 향금윤마을 130 4-0 018-824",01083641651,6000.0,70.0
경기도 금순시 권힘로 3860 (674-518),01063212239,3000.0,30.0
"대전광역시 현욱선시 
 아순홍시 1441 864-823",01017631796,8000.0,60.0
"인천광역시 기원구 
 강도범동 4003 017동 886호 230-866",01045799561,8000.0,60.0
충청북도 옹상한시 조혜완거리 724 (383-651),01027431845,5000.0,50.0
"충청북도 미향덕시 
 아엽용동 036 0-5 552-691",01026187543,3000.0,60.0
서울특별시 장곡영예마을 의가로 753 824 (708-127),01024562648,7000.0,30.0
충청남도 제주향군 경산광마을 9545 (997-817),01069993361,3000.0,40.0
"전라북도 우효마을 
 호아로 4 943동 842호 013-112",01053781177,7000.0,60.0
경상북도 호건마을 솔별거리 4 609 (743-106),01035615963,7000.0,30.0
"충청남도 추안한군 
 권혁동 4 9-8 103-288",01043377314,4000.0,70.0
경상남도 장솔재마을 주효찬군 6932 (354-510),01044866223,9000.0,30.0
대구광역시 봉종영마을 익협위시 2691 (209-964),01037649589,7000.0,60.0
"대구광역시 송해원시 
 무아동 9 413-818",01027662579,8000.0,70.0
"충청북도 근은시 
 용련련시 172 943동 736호 844-224",01084133126,4000.0,70.0
충청남도 연준구 기의찬구 5167 462 (038-110),01032712185,4000.0,50.0
서울특별시 비세마을 소려진시 7 898동 071호 (267-121),01015787624,3000.0,40.0
세종특별자치시 독고슬태마을 아열통구 363 8-7 (259-208),01074685216,6000.0,30.0
강원도 정후구 복병범거리 123 1-9 (645-913),01092672571,9000.0,50.0
세종특별자치시 후빈완군 강종균구 8 (138-554),01058795618,5000.0,40.0
충청북도 건지시 동유별마을 5322 4-6 (784-984),01014117673,4000.0,60.0
경상북도 맹유향시 무효혜로 666 324동 075호 (790-121),01052484888,7000.0,60.0
"울산광역시 묘승석마을 
 함형온거리 997 07-5 788-772",01063258294,5000.0,30.0
광주광역시 동석시 리명동 403 (608-223),01078433679,1000.0,60.0
"경상북도 훈예시 
 금남기구 0 009-1 324-527",01084271912,7000.0,30.0
충청남도 신웅경마을 조순경로 0 716동 894호 (056-738),01043743229,4000.0,40.0
"충청남도 엽동마을 
 운순정로 4 060동 695호 699-119",01027947844,9000.0,40.0
대전광역시 변가건군 요강상동 004 (935-753),01091181761,7000.0,30.0
광주광역시 강희시 예보로 6 177-1 (441-238),01023161655,4000.0,30.0
대전광역시 여기빈마을 연형혜로 1 (053-076),01022682994,1000.0,70.0
"제주특별자치도 용경마을 
 엽창안군 4 4-9 544-180",01043763476,7000.0,30.0
"충청북도 필우기구 
 억엽유거리 4 968-096",01031933254,3000.0,70.0
"경기도 아위마을 
 보대양동 687 237 361-814",01043519668,5000.0,30.0
"울산광역시 순미은구 
 성태건동 913 085 036-851",01052329277,4000.0,40.0
"경상북도 소희강구 
 양두관군 874 667-559",01051541146,9000.0,50.0
인천광역시 보람군 이관솔로 0 43-1 (393-413),01092352326,9000.0,50.0
대전광역시 용유마을 안빈무로 030 (068-940),01043592623,7000.0,60.0
"경상남도 나다우구 
 향예람마을 707 334동 998호 722-970",01051784867,3000.0,40.0
인천광역시 송명군 의훈통시 8 398동 747호 (355-054),01043898484,1000.0,60.0
"경기도 가화형마을 
 사공인예동 8 578 148-842",01069489297,2000.0,40.0
"대구광역시 통종구 
 종규향시 2 832-896",01094632376,4000.0,50.0
대전광역시 욱명마을 민균은거리 338 379-9 (664-640),01063391154,9000.0,70.0
"부산광역시 저욱승마을 
 범창동 6 292 174-920",01012285642,9000.0,70.0
경상남도 애억재군 재통완마을 5 671동 817호 (469-605),01025466484,4000.0,50.0
전라남도 휘웅군 배남열거리 5580 (858-528),01025871824,3000.0,30.0
"세종특별자치시 심양가시 
 양보남거리 0000 196-531",01055382845,5000.0,60.0
경상북도 민원군 통홍근동 7 (403-668),01073976514,3000.0,70.0
강원도 송대후구 옹아후거리 500 945 (464-369),01065716153,8000.0,40.0
경상남도 근범의군 홍후로 9 718-5 (238-904),01064951212,6000.0,50.0
"충청북도 석용시 
 완은지구 963 273동 428호 737-129",01062532438,4000.0,60.0
"강원도 원리마을 
 완광광군 2204 747-3 167-165",01019746426,9000.0,30.0
"서울특별시 성슬시 
 주한두로 989 828-399",01041278618,7000.0,40.0
세종특별자치시 아가찬마을 힘준거리 682 446 (248-239),01046747397,1000.0,30.0
충청남도  석해웅마을 건관로 1196 (890-118),01031216599,5000.0,40.0
전라남도 협건구 협양동 8 (787-169),01075553688,5000.0,30.0
인천광역시 란통시 오선형동 0 (102-192),01067588851,8000.0,70.0
경상북도 관병구 형남태시 3615 528동 621호 (777-705),01058948125,6000.0,40.0
대구광역시 솔위구 의가동 315 (307-907),01062155493,6000.0,30.0
세종특별자치시 남선마을 준열규동 4060 219 (456-998),01049414273,4000.0,40.0
충청북도 우상구 성호혁군 3882 49-8 (239-353),01063191176,3000.0,50.0
충청북도 강위엽마을 보소창구 2323 (735-888),01061598314,6000.0,60.0
"전라남도 교후지마을 
 원남동 375 672-164",01057237661,4000.0,30.0
전라북도 순의시 려덕동동 996 573 (101-908),01098392273,1000.0,30.0
대구광역시 장경슬마을 황혜로 379 126 (780-021),01029686569,4000.0,40.0
세종특별자치시 연련희구 별별림동 2 (005-468),01055187774,2000.0,30.0
"경상남도 정욱마을 
 해진로 0 201 136-465",01047211844,3000.0,60.0
"세종특별자치시 권재군 
 휘열거리 7 060동 654호 900-726",01065215171,6000.0,50.0
전라남도 낭범관구 관란림동 764 (586-887),01035495732,6000.0,30.0
인천광역시 삼익권시 혜미안동 344 3-7 (695-932),01054969541,8000.0,30.0
경상남도 옹승동구 광다다구 6811 670-9 (446-275),01059696778,6000.0,60.0
"경상북도 노규예마을 
 관덕열로 7 6-8 391-875",01031314487,5000.0,50.0
"전라남도 최산아군 
 혁철거리 146 241-021",01072762418,1000.0,60.0
"강원도 구광황시 
 계익도로 1704 309-6 325-374",01075758136,9000.0,60.0
광주광역시 금찬순구 혁현로 282 (427-438),01093325424,1000.0,40.0
"대전광역시 한덕시 
 누대윤로 7 647-037",01029784851,9000.0,60.0
경기도 구남억마을 기태지마을 780 031 (288-857),01047281729,1000.0,60.0
"광주광역시 성훈시 
 별훈대거리 459 835동 014호 446-715",01011146867,3000.0,50.0
"서울특별시 판환승시 
 창동비거리 3 430-521",01047778527,3000.0,60.0
"강원도 류영석군 
 건익두동 9 057-541",01057236725,7000.0,40.0
"전라남도 최람규마을 
 두수호시 900 857 856-165",01019323734,4000.0,30.0
서울특별시 성예마을 예다혜구 3376 (738-758),01022594482,8000.0,30.0
"대전광역시 두열구 
 진별후거리 7 42-9 161-747",01031151995,3000.0,50.0
강원도 안철지마을 양미리거리 6 (229-758),01041725887,5000.0,60.0
"전라남도 연해시 
 환석로 1988 276 032-845",01045556417,5000.0,50.0
충청북도 만하경군 솔한준동 0 (843-720),01091386184,7000.0,50.0
대전광역시 오호우구 규소화군 4 296-0 (290-790),01027778394,5000.0,60.0
"세종특별자치시 권리군 
 정근환동 4354 68-5 630-362",01014979216,6000.0,60.0
경상남도 영철주시 향양란거리 1074 (609-256),01037951229,3000.0,30.0
"서울특별시 허연동구 
 광화규마을 8244 677-867",01041747224,5000.0,60.0
경기도 금려구 수상종군 0 448 (712-924),01098661172,9000.0,50.0
"세종특별자치시 임혜병군 
 해송거리 017 473 967-641",01028869264,7000.0,70.0
"인천광역시 한하군 
 권상동 9407 088-402",01014883161,1000.0,70.0
"전라남도 흥준홍시 
 금련거리 846 206-9 087-301",01041311858,9000.0,70.0
경상북도 진위구 찬승소시 975 453-2 (861-840),01035518256,2000.0,70.0
충청북도 명관금군 호은거리 246 1-0 (991-986),01039596461,9000.0,60.0
"대전광역시 전해용시 
 흥용광거리 3 473-753",01061852618,3000.0,60.0
"울산광역시 연찬마을 
 예주솔동 302 621-642",01042877229,8000.0,60.0
"인천광역시 안하협시 
 위재거리 0 539-738",01018968256,6000.0,30.0
전라남도 송병구 수환하시 9 (692-555),01083817875,2000.0,30.0
강원도 경선근시 동엽거리 592 (450-817),01074419657,7000.0,30.0
"충청남도 열황군 
 창유동 4 919-2 774-207",01096288661,1000.0,70.0
대구광역시 박솔힘시 심영상로 547 (398-338),01092116576,7000.0,30.0
전라남도 위두군 종보희거리 3434 845 (504-120),01099339445,7000.0,70.0
경상남도 윤순석시 아홍엽로 398 083동 409호 (266-540),01054196576,1000.0,60.0
경기도 남관마을 민태상로 7364 496동 475호 (810-056),01068577991,4000.0,40.0
대전광역시 태미군 해위진로 863 747 (572-502),01079835899,1000.0,50.0
"전라남도 순엽구 
 노관순거리 5 225-976",01072423236,7000.0,60.0
대전광역시 원위마을 솔수화군 790 5-6 (410-622),01016464675,6000.0,50.0
"광주광역시 양완호마을 
 기림후거리 3605 602-1 334-479",01071278653,5000.0,30.0
광주광역시 은규시 무유주동 3 (713-898),01074191523,8000.0,50.0
"경상남도 형용시 
 예열성거리 3249 690-914",01017643224,4000.0,30.0
"세종특별자치시 인강범구 
 추산통로 4 420-800",01044919153,2000.0,70.0
인천광역시 협훈시 윤향황동 8 6-3 (460-632),01048785152,5000.0,30.0
충청북도 신금빈군 지우종거리 0 (322-978),01049446759,3000.0,40.0
"충청남도 사공란희시 
 인병휘로 707 229-370",01075977421,9000.0,70.0
"경기도 오창무시 
 건두정마을 2 422 070-929",01072933214,1000.0,70.0
"울산광역시 기형군 
 상수동 2197 181동 334호 126-621",01079667158,4000.0,40.0
"인천광역시 진두비시 
 웅선동 7124 587 240-523",01063742481,6000.0,30.0
경기도 관근군 계소영거리 675 (660-079),01014621923,7000.0,70.0
"대구광역시 만욱관시 
 철지명거리 8 716-871",01046423929,2000.0,40.0
강원도 추효익마을 용종미시 9234 90-6 (749-950),01057944498,2000.0,60.0
경상북도 용남욱시 협동우구 5429 20-7 (308-761),01073563879,5000.0,60.0
경기도 솔보마을 연후솔마을 0482 (876-237),01057195142,1000.0,30.0
세종특별자치시 누상기군 선민거리 8 253동 984호 (423-784),01058816148,9000.0,30.0
"대구광역시 별해마을 
 대덕로 7 659동 343호 599-180",01012524884,1000.0,70.0
"충청북도 승슬군 
 금련로 3590 991동 277호 922-686",01049688213,8000.0,30.0
"충청북도 강호군 
 의위동 625 0-0 390-179",01052843724,9000.0,70.0
부산광역시 권웅마을 양태거리 6 233 (197-970),01025611767,8000.0,40.0
경상남도 하관힘마을 낭희민로 4 92-6 (323-067),01036474162,9000.0,70.0
"충청남도 진보은마을 
 희균관시 8 172 915-294",01027432146,8000.0,50.0
"대전광역시 동방무기시 
 람란권군 7 006 037-889",01014199298,4000.0,70.0
경상북도 편영슬군 의상로 8135 (402-210),01016242195,5000.0,60.0
"충청북도 나석기시 
 유환동 3160 695-189",01046591149,7000.0,60.0
"제주특별자치도 주환군 
 유상종거리 8964 405-366",01091135867,8000.0,70.0
"충청북도 만창홍시 
 구정철마을 1026 9-5 772-189",01037663944,7000.0,50.0
전라남도 진원구 엽억준군 9862 (258-333),01034126912,7000.0,40.0
충청남도 인태구 노혜재로 939 (623-680),01062578767,8000.0,70.0
"강원도 기병시 
 환윤거리 496 300-283",01069451867,8000.0,40.0
"전라북도 상동시 
 도강람군 511 594 110-432",01049755184,9000.0,70.0
부산광역시 최통엽마을 웅후종거리 764 (350-220),01011622323,5000.0,60.0
"부산광역시 이웅가마을 
 선관거리 799 708-630",01069683794,8000.0,40.0
"인천광역시 빙비창시 
 도지려거리 361 256-562",01035354529,7000.0,40.0
"전라남도 힘현군 
 철리석마을 2 475-144",01052313774,1000.0,60.0
경상북도 의희군 슬욱로 1948 (533-318),01099568564,1000.0,70.0
"전라북도 영혁석시 
 장곡위권거리 2636 795-889",01096818294,8000.0,70.0
전라남도 명영구 무예거리 5 (270-977),01046477236,3000.0,70.0
제주특별자치도 옹종보마을 미건지시 764 (942-356),01013697894,4000.0,40.0
울산광역시 요완대구 송황두로 060 (550-342),01096437455,7000.0,70.0
세종특별자치시 도강마을 억강욱로 3 443 (606-304),01096437669,7000.0,30.0
"대전광역시 훈기구 
 하종용동 123 552 851-673",01045974895,1000.0,60.0
"경기도 강전균정군 
 필유순거리 2268 91-2 691-194",01096628371,8000.0,60.0
"서울특별시 조아경시 
 홍병웅시 5 52-1 140-098",01089192949,6000.0,40.0
"서울특별시 장곡종희구 
 정범동 754 0-5 672-743",01048778969,9000.0,50.0
"전라남도 방주민시 
 열준림마을 622 60-1 346-380",01057442736,1000.0,60.0
"경상북도 온무군 
 보완거리 885 8-0 083-086",01036985355,6000.0,60.0
"전라북도 양온구 
 성보순동 1288 2-2 448-165",01011893221,3000.0,40.0
강원도 건남시 무엽슬군 388 7-8 (163-626),01055281171,9000.0,30.0
경기도 조광림시 여찬후로 4760 (802-398),01025194492,1000.0,60.0
광주광역시 완동구 순송로 5 (181-523),01017538777,5000.0,50.0
"경상북도 남익열시 
 저효산거리 2 562 034-597",01011263348,4000.0,50.0
"경상남도 원창미구 
 민용명로 493 651 913-250",01048167918,3000.0,50.0
부산광역시 장웅소마을 명도권거리 065 305-1 (428-426),01031599777,6000.0,50.0
"경상남도 영경향구 
 강지로 8 516-3 239-805",01058439212,8000.0,60.0
서울특별시 이홍억구 범지열시 434 (062-740),01017929775,1000.0,70.0
대전광역시 주수구 즙익익동 5 (739-104),01017785324,8000.0,70.0
경기도 소준건시 훈련병시 3281 169 (178-876),01024724785,2000.0,50.0
제주특별자치도 여명련시 맹혁병동 2470 04-5 (676-094),01055487421,8000.0,50.0
대전광역시 종림마을 후양예동 1 106-8 (576-644),01053182133,6000.0,30.0
"충청북도 석형마을 
 권근건로 482 608-622",01039666787,5000.0,50.0
"전라북도 진기열마을 
 인경호거리 027 93-4 755-027",01086798829,9000.0,60.0
"경기도 나대희구 
 진준협로 6 21-7 814-923",01059825715,4000.0,30.0
"제주특별자치도 다석구 
 독고지건로 7 33-7 305-195",01046245547,5000.0,50.0
충청남도 훈열군 소기호거리 118 9-8 (655-930),01052996482,2000.0,30.0
경상남도 옹산훈구 후인가시 153 928-6 (238-688),01027264685,8000.0,70.0
경상북도 보민마을 복황무로 7 210 (397-160),01055698939,4000.0,60.0
인천광역시 옥힘지구 철구동 408 (758-749),01046639591,8000.0,60.0
부산광역시 정미엽군 명림산로 6 (603-892),01061397179,5000.0,40.0
제주특별자치도 길환하군 야호대동 5289 04-5 (599-464),01045953543,3000.0,70.0
인천광역시 육덕무구 보온동 8 (062-997),01066368492,2000.0,60.0
"제주특별자치도 세완군 
 윤홍경거리 3763 397-877",01087365329,2000.0,60.0
